0,"[1893, [6.189573299999999, 5.0]]"
1,"[320, [5.6642933, 3.5]]"
2,"[41, [5.1609742, 4.0]]"
3,"[552, [5.09023923, 3.0]]"
4,"[757, [5.0876415, 7.5]]"
5,"[1239, [4.9699573, 4.0]]"
6,"[1528, [4.905054829999999, 2.5]]"
7,"[585, [4.88427825, 4.0]]"
8,"[345, [4.8665209, 3.0]]"
9,"[1293, [4.865530000000001, 1.5]]"
10,"[1739, [4.6356588499999996, 3.0]]"
11,"[1791, [4.6333845, 4.5]]"
12,"[15, [4.6291983000000005, 6.0]]"
13,"[1642, [4.61161, 2.5]]"
14,"[2681, [4.60173468, 7.5]]"
15,"[965, [4.597828, 5.0]]"
16,"[277, [4.58515504, 2.5]]"
17,"[2399, [4.5647639, 0.5]]"
18,"[349, [4.44175816, 5.5]]"
19,"[2847, [4.3893911999999995, 7.0]]"
20,"[2164, [4.38886167, 2.5]]"
21,"[1853, [4.3821433, 2.0]]"
22,"[2104, [4.3777285, 3.0]]"
23,"[147, [4.3752104, 8.0]]"
24,"[174, [4.3660069, 4.0]]"
25,"[752, [4.26331596, 4.0]]"
26,"[309, [4.2470824, 5.5]]"
27,"[1553, [4.2467462, 7.5]]"
28,"[423, [4.24406312, 0.5]]"
29,"[2195, [4.2324497999999995, 3.5]]"
